episode,steps,return,success,target,start_bin,delivered_bin,designer_bonus,intervention_kind,interventions_total,wallclock_s,global_step
134,1,-0.204,0,B,16,8,0.0,stuck,68,694.0,20956
135,300,-57.07,0,B,8,8,0.0,,68,707.0,21256
136,1,-0.211,0,B,8,16,0.0,stuck,69,707.0,21257
137,300,-61.941,0,B,16,16,0.0,,69,719.8,21557
138,1,-0.213,0,B,16,8,0.0,stuck,70,719.8,21558
139,154,-32.005,0,B,8,17,0.0,escape,71,726.4,21712
140,300,-61.067,0,B,17,17,0.0,,71,739.1,22012
141,1,-0.169,0,B,17,9,0.0,stuck,72,739.1,22013
142,300,-61.434,0,B,9,0,0.0,,72,751.8,22313
143,119,-21.256,0,B,0,9,0.0,stuck,73,757.0,22432
144,300,-73.245,0,B,9,9,0.0,,73,769.9,22732
145,300,-49.723,0,B,9,2,0.0,,73,783.0,23032
146,242,-34.506,0,B,2,9,0.0,escape,74,793.4,23274
147,300,-47.774,0,B,9,1,0.0,,74,806.4,23574
148,86,-13.139,0,B,1,17,0.0,stuck,75,810.0,23660
149,300,-54.971,0,B,17,16,0.0,,75,822.8,23960
150,247,-47.77,0,B,16,9,0.0,stuck,76,833.3,24207
151,300,-51.725,0,B,9,9,0.0,,76,846.3,24507
152,1,-0.193,0,B,9,9,0.0,stuck,77,846.3,24508
153,300,-52.265,0,B,9,8,0.0,,77,859.3,24808
154,187,-35.11,0,B,8,17,0.0,stuck,78,867.3,24995
155,300,-50.044,0,B,17,17,0.0,,78,942.0,25295
156,1,-0.165,0,B,17,18,0.0,stuck,79,942.0,25296
157,300,-47.083,0,B,18,18,0.0,,79,955.2,25596
158,1,-0.157,0,B,18,16,0.0,stuck,80,955.2,25597
159,300,-55.986,0,B,16,16,0.0,,80,968.0,25897
160,1,-0.207,0,B,16,9,0.0,stuck,81,968.0,25898
161,300,-46.574,0,B,9,9,0.0,,81,980.8,26198
162,1,-0.162,0,B,9,25,0.0,stuck,82,980.8,26199
163,300,-56.613,0,B,25,25,0.0,,82,993.6,26499
164,1,-0.201,0,B,25,9,0.0,stuck,83,993.6,26500
165,300,-48.953,0,B,9,9,0.0,,83,1006.5,26800
166,1,-0.175,0,B,9,8,0.0,stuck,84,1006.5,26801
167,300,-59.531,0,B,8,8,0.0,,84,1019.6,27101
168,1,-0.22,0,B,8,9,0.0,stuck,85,1019.6,27102
169,300,-46.396,0,B,9,9,0.0,,85,1032.5,27402
170,1,-0.166,0,B,9,17,0.0,stuck,86,1032.5,27403
171,300,-50.741,0,B,17,17,0.0,,86,1045.1,27703
172,1,-0.18,0,B,17,1,0.0,stuck,87,1045.1,27704
173,300,-46.616,0,B,1,1,0.0,,87,1057.8,28004
174,1,-0.177,0,B,1,10,0.0,stuck,88,1057.9,28005
175,300,-45.485,0,B,10,10,0.0,,88,1070.6,28305
176,1,-0.158,0,B,10,1,0.0,stuck,89,1070.6,28306
177,300,-50.284,0,B,1,1,0.0,,89,1083.6,28606
178,1,-0.191,0,B,1,25,0.0,stuck,90,1083.6,28607
179,300,-55.334,0,B,25,25,0.0,,90,1096.6,28907
180,1,-0.19,0,B,25,9,0.0,stuck,91,1096.6,28908
181,300,-52.287,0,B,9,9,0.0,,91,1109.5,29208
182,1,-0.194,0,B,9,17,0.0,stuck,92,1109.6,29209
183,300,-53.353,0,B,17,17,0.0,,92,1122.5,29509
184,1,-0.174,0,B,17,9,0.0,stuck,93,1122.6,29510
185,300,-49.095,0,B,9,9,0.0,,93,1135.4,29810
186,1,-0.168,0,B,9,8,0.0,stuck,94,1135.5,29811
187,300,-61.48,0,B,8,8,0.0,,94,1148.5,30111
188,1,-0.211,0,B,8,8,0.0,stuck,95,1148.5,30112
189,300,-59.511,0,B,8,8,0.0,,95,1161.6,30412
190,1,-0.202,0,B,8,17,0.0,stuck,96,1161.6,30413
191,300,-51.79,0,B,17,17,0.0,,96,1174.7,30713
192,1,-0.165,0,B,17,8,0.0,stuck,97,1174.7,30714
193,300,-56.517,0,B,8,8,0.0,,97,1187.5,31014
194,1,-0.219,0,B,8,9,0.0,stuck,98,1187.6,31015
195,300,-48.05,0,B,9,9,0.0,,98,1200.7,31315
196,1,-0.186,0,B,9,8,0.0,stuck,99,1200.8,31316
197,300,-55.591,0,B,8,8,0.0,,99,1213.8,31616
198,1,-0.218,0,B,8,17,0.0,stuck,100,1213.9,31617
199,300,-46.368,0,B,17,17,0.0,,100,1226.9,31917
200,1,-0.18,0,B,17,17,0.0,stuck,101,1227.0,31918
201,300,-47.043,0,B,17,17,0.0,,101,1240.0,32218
202,1,-0.179,0,B,17,8,0.0,stuck,102,1240.1,32219
203,300,-53.931,0,B,8,8,0.0,,102,1253.1,32519
204,1,-0.209,0,B,8,18,0.0,stuck,103,1253.1,32520
205,300,-46.359,0,B,18,18,0.0,,103,1266.4,32820
206,1,-0.156,0,B,18,9,0.0,stuck,104,1266.5,32821
207,300,-52.153,0,B,9,9,0.0,,104,1279.8,33121
208,1,-0.189,0,B,9,17,0.0,stuck,105,1279.8,33122
209,300,-56.994,0,B,17,17,0.0,,105,1292.7,33422
210,1,-0.199,0,B,17,9,0.0,stuck,106,1292.8,33423
211,300,-50.118,0,B,9,9,0.0,,106,1306.1,33723
212,1,-0.188,0,B,9,17,0.0,stuck,107,1306.2,33724
213,300,-50.075,0,B,17,17,0.0,,107,1319.2,34024
