episode,steps,return,success,target,interventions_total,wallclock_s,global_step
551,300,-55.34,0,B,0,6014.7,165100
552,300,-48.679,0,A,0,6025.1,165400
553,300,-37.713,0,B,0,6035.7,165700
554,300,-58.297,0,A,0,6046.0,166000
555,300,-42.384,0,B,0,6056.6,166300
556,300,-55.063,0,A,0,6066.9,166600
557,300,-51.685,0,B,0,6077.3,166900
558,300,-56.31,0,A,0,6087.5,167200
559,300,-51.922,0,B,0,6098.2,167500
560,300,-64.052,0,A,0,6108.4,167800
561,300,-48.325,0,B,0,6118.7,168100
562,300,-53.929,0,A,0,6129.2,168400
563,300,-53.803,0,B,0,6139.4,168700
564,300,-69.348,0,A,0,6149.7,169000
565,300,-43.649,0,B,0,6160.1,169300
566,300,-48.399,0,A,0,6170.4,169600
567,300,-57.558,0,B,0,6180.7,169900
568,300,-49.031,0,A,0,6191.0,170200
569,300,-54.445,0,B,0,6201.3,170500
570,300,-64.668,0,A,0,6211.8,170800
571,300,-55.921,0,B,0,6222.2,171100
572,300,-50.458,0,A,0,6232.9,171400
573,300,-57.531,0,B,0,6243.3,171700
574,300,-46.23,0,A,0,6253.9,172000
575,300,-31.514,0,B,0,6264.6,172300
576,300,-55.592,0,A,0,6275.1,172600
577,257,-26.8,1,B,0,6284.2,172857
578,300,-54.363,0,A,0,6294.6,173157
579,266,-38.178,1,B,0,6303.8,173423
580,300,-50.6,0,A,0,6314.1,173723
581,300,-30.698,0,B,0,6324.8,174023
582,300,-44.97,0,A,0,6335.4,174323
583,300,-41.095,0,B,0,6346.7,174623
584,300,-44.072,0,A,0,6357.5,174923
585,300,-35.986,0,B,0,6420.4,175223
586,300,-63.914,0,A,0,6430.4,175523
587,46,4.428,1,B,0,6432.0,175569
588,300,-47.559,0,A,0,6442.2,175869
589,300,-55.038,0,B,0,6452.6,176169
590,300,-47.897,0,A,0,6462.6,176469
591,300,-49.445,0,B,0,6473.0,176769
592,300,-53.827,0,A,0,6483.2,177069
593,300,-45.147,0,B,0,6493.7,177369
594,300,-56.651,0,A,0,6504.1,177669
595,300,-59.113,0,B,0,6514.5,177969
596,300,-53.208,0,A,0,6524.9,178269
597,300,-44.187,0,B,0,6535.4,178569
598,300,-61.74,0,A,0,6545.9,178869
599,300,-32.534,0,B,0,6556.3,179169
600,300,-50.271,0,A,0,6566.7,179469
601,300,-53.942,0,B,0,6577.2,179769
