episode,steps,return,success,target,interventions_total,wallclock_s,global_step
240,300,-66.099,0,A,0,1391.0,68018
241,300,-58.853,0,B,0,1396.9,68318
242,300,-31.079,0,A,0,1402.8,68618
243,300,-46.98,0,B,0,1407.8,68918
244,51,2.225,1,A,0,1408.7,68969
245,300,-55.352,0,B,0,1414.1,69269
246,113,-8.858,1,A,0,1416.0,69382
247,300,-57.28,0,B,0,1421.3,69682
248,59,1.163,1,A,0,1422.5,69741
249,300,-36.653,0,B,0,1428.0,70041
250,300,-56.982,0,A,0,1436.1,70341
251,300,-67.851,0,B,0,1445.4,70641
252,300,-35.339,0,A,0,1451.0,70941
253,300,-64.202,0,B,0,1456.7,71241
254,300,-60.256,0,A,0,1462.2,71541
255,300,-66.468,0,B,0,1467.5,71841
256,89,-3.058,1,A,0,1469.1,71930
257,300,-64.125,0,B,0,1474.6,72230
258,300,-55.719,0,A,0,1480.6,72530
259,300,-38.978,0,B,0,1487.6,72830
260,300,-44.089,0,A,0,1493.5,73130
261,300,-51.198,0,B,0,1502.1,73430
262,300,-58.613,0,A,0,1507.2,73730
263,300,-64.36,0,B,0,1512.9,74030
264,50,2.144,1,A,0,1514.0,74080
265,300,-55.109,0,B,0,1519.3,74380
266,300,-55.581,0,A,0,1524.5,74680
267,300,-61.49,0,B,0,1529.8,74980
268,300,-60.448,0,A,0,1560.2,75280
269,300,-54.503,0,B,0,1565.5,75580
270,300,-48.014,0,A,0,1571.0,75880
271,300,-67.045,0,B,0,1576.1,76180
272,300,-45.999,0,A,0,1581.3,76480
273,300,-49.933,0,B,0,1586.8,76780
274,300,-48.719,0,A,0,1591.9,77080
275,300,-43.208,0,B,0,1597.0,77380
276,44,3.608,1,A,0,1597.8,77424
277,300,-62.072,0,B,0,1603.2,77724
278,43,3.371,1,A,0,1604.0,77767
279,300,-30.972,0,B,0,1609.2,78067
280,300,-40.503,0,A,0,1615.0,78367
281,300,-61.0,0,B,0,1621.9,78667
282,46,2.537,1,A,0,1622.7,78713
283,214,-8.16,1,B,0,1626.5,78927
284,45,2.664,1,A,0,1627.3,78972
285,300,-44.697,0,B,0,1632.5,79272
286,47,3.339,1,A,0,1633.3,79319
287,300,-55.691,0,B,0,1638.5,79619
288,69,1.791,1,A,0,1639.6,79688
289,300,-74.792,0,B,0,1644.8,79988
290,300,-36.542,0,A,0,1649.9,80288
291,300,-57.37,0,B,0,1655.3,80588
292,61,0.975,1,A,0,1656.4,80649
293,300,-37.398,0,B,0,1661.6,80949
294,69,-1.856,1,A,0,1662.8,81018
295,300,-54.539,0,B,0,1667.9,81318
296,50,2.891,1,A,0,1668.7,81368
297,300,-58.729,0,B,0,1674.2,81668
298,57,1.84,1,A,0,1676.0,81725
299,300,-56.895,0,B,0,1682.2,82025
300,300,-30.448,0,A,0,1687.7,82325
301,300,-52.711,0,B,0,1693.4,82625
302,300,-39.157,0,A,0,1698.8,82925
303,300,-56.697,0,B,0,1704.1,83225
304,300,-37.059,0,A,0,1709.5,83525
305,300,-51.27,0,B,0,1714.6,83825
306,71,-1.171,1,A,0,1715.9,83896
307,300,-58.337,0,B,0,1721.0,84196
308,63,0.214,1,A,0,1722.4,84259
309,300,-54.081,0,B,0,1728.1,84559
310,300,-51.645,0,A,0,1733.5,84859
311,300,-58.999,0,B,0,1742.3,85159
312,300,-41.076,0,A,0,1747.7,85459
313,300,-52.791,0,B,0,1753.0,85759
314,52,2.066,1,A,0,1754.0,85811
315,300,-49.815,0,B,0,1759.1,86111
316,300,-68.859,0,A,0,1764.4,86411
317,300,-51.469,0,B,0,1769.8,86711
318,300,-62.095,0,A,0,1775.3,87011
319,300,-56.59,0,B,0,1781.2,87311
320,300,-68.93,0,A,0,1788.1,87611
321,300,-54.74,0,B,0,1795.0,87911
322,246,-10.715,1,A,0,1801.0,88157
323,300,-63.224,0,B,0,1807.6,88457
324,300,-50.714,0,A,0,1814.4,88757
325,300,-53.01,0,B,0,1821.1,89057
326,51,2.781,1,A,0,1822.2,89108
327,300,-53.813,0,B,0,1828.9,89408
328,300,-63.214,0,A,0,1835.8,89708
329,300,-47.111,0,B,0,1842.5,90008
330,54,3.415,1,A,0,1843.7,90062
331,300,-44.566,0,B,0,1850.4,90362
332,53,2.369,1,A,0,1851.6,90415
333,300,-56.767,0,B,0,1859.0,90715
334,45,2.623,1,A,0,1860.0,90760
335,300,-58.992,0,B,0,1866.7,91060
336,133,-6.613,1,A,0,1869.7,91193
337,300,-47.089,0,B,0,1876.3,91493
338,300,-60.331,0,A,0,1883.0,91793
339,300,-52.674,0,B,0,1889.5,92093
340,300,-51.747,0,A,0,1896.3,92393
341,300,-54.343,0,B,0,1902.9,92693
342,220,-21.243,1,A,0,1907.8,92913
343,300,-51.987,0,B,0,1914.6,93213
344,300,-64.978,0,A,0,1921.7,93513
345,300,-68.508,0,B,0,1928.4,93813
346,300,-61.694,0,A,0,1935.0,94113
347,300,-53.907,0,B,0,1941.6,94413
348,39,3.789,1,A,0,1942.5,94452
349,300,-66.314,0,B,0,1949.1,94752
350,44,3.778,1,A,0,1950.2,94796
351,300,-44.899,0,B,0,1957.0,95096
352,38,4.795,1,A,0,1957.8,95134
353,300,-50.476,0,B,0,1964.4,95434
354,52,0.988,1,A,0,1965.6,95486
355,300,-62.857,0,B,0,1972.1,95786
356,39,4.622,1,A,0,1973.0,95825
357,300,-60.44,0,B,0,1980.3,96125
358,300,-49.339,0,A,0,1986.9,96425
359,300,-53.724,0,B,0,1993.6,96725
360,96,-4.523,1,A,0,1995.7,96821
361,300,-50.302,0,B,0,2002.8,97121
362,43,3.861,1,A,0,2003.7,97164
363,300,-44.401,0,B,0,2010.4,97464
364,119,-10.205,1,A,0,2013.3,97583
365,300,-73.353,0,B,0,2020.0,97883
366,40,4.698,1,A,0,2020.9,97923
367,300,-58.149,0,B,0,2027.6,98223
368,41,3.911,1,A,0,2028.5,98264
369,300,-61.614,0,B,0,2035.3,98564
370,300,-59.348,0,A,0,2042.5,98864
371,300,-66.017,0,B,0,2049.1,99164
372,300,-61.638,0,A,0,2055.7,99464
373,300,-61.725,0,B,0,2062.3,99764
374,300,-58.696,0,A,0,2089.9,100064
375,300,-67.356,0,B,0,2097.0,100364
376,300,-57.136,0,A,0,2103.9,100664
377,300,-50.407,0,B,0,2110.5,100964
378,300,-57.727,0,A,0,2117.1,101264
379,300,-58.852,0,B,0,2123.8,101564
380,300,-64.776,0,A,0,2130.3,101864
381,300,-41.856,0,B,0,2137.1,102164
382,300,-98.451,0,A,0,2143.6,102464
383,300,-46.732,0,B,0,2150.3,102764
384,300,-71.595,0,A,0,2157.3,103064
385,300,-54.124,0,B,0,2164.1,103364
386,300,-54.159,0,A,0,2170.7,103664
387,300,-46.166,0,B,0,2177.3,103964
388,300,-56.041,0,A,0,2183.9,104264
389,300,-44.697,0,B,0,2190.5,104564
390,300,-52.099,0,A,0,2197.1,104864
391,300,-45.767,0,B,0,2203.8,105164
392,300,-35.591,0,A,0,2210.4,105464
393,300,-41.978,0,B,0,2217.8,105764
394,300,-38.668,0,A,0,2224.7,106064
395,300,-53.297,0,B,0,2231.3,106364
396,36,4.788,1,A,0,2232.2,106400
397,300,-34.075,0,B,0,2238.9,106700
398,300,-27.664,0,A,0,2245.6,107000
399,300,-41.079,0,B,0,2252.2,107300
400,300,-54.748,0,A,0,2258.9,107600
401,300,-40.032,0,B,0,2265.6,107900
402,300,-33.123,0,A,0,2272.3,108200
403,300,-36.685,0,B,0,2279.8,108500
404,62,2.119,1,A,0,2281.2,108562
405,300,-42.259,0,B,0,2287.9,108862
406,159,-3.079,1,A,0,2291.4,109021
407,50,4.795,1,B,0,2292.5,109071
408,37,4.614,1,A,0,2293.3,109108
409,47,4.437,1,B,0,2294.4,109155
410,300,-58.25,0,A,0,2301.1,109455
411,300,-24.303,0,B,0,2307.8,109755
