episode,steps,return,success,target,start_bin,delivered_bin,designer_bonus,intervention_kind,interventions_total,wallclock_s,global_step
143,300,-58.481,0,B,8,8,0.0,,70,428.3,24094
144,1,-0.209,0,B,8,17,0.0,stuck,71,428.4,24095
145,300,-49.359,0,B,17,17,0.0,,71,436.6,24395
146,1,-0.169,0,B,17,9,0.0,stuck,72,436.6,24396
147,300,-46.975,0,B,9,9,0.0,,72,445.3,24696
148,1,-0.168,0,B,9,9,0.0,stuck,73,445.3,24697
149,300,-48.779,0,B,9,9,0.0,,73,453.7,24997
150,1,-0.184,0,B,9,9,0.0,stuck,74,453.7,24998
151,300,-47.876,0,B,9,9,0.0,,74,487.4,25298
152,1,-0.177,0,B,9,17,0.0,stuck,75,487.4,25299
153,300,-50.894,0,B,17,17,0.0,,75,492.9,25599
154,1,-0.189,0,B,17,9,0.0,stuck,76,492.9,25600
155,300,-49.904,0,B,9,9,0.0,,76,499.5,25900
156,1,-0.193,0,B,9,9,0.0,stuck,77,499.5,25901
157,300,-51.38,0,B,9,9,0.0,,77,506.1,26201
158,1,-0.196,0,B,9,17,0.0,stuck,78,506.1,26202
159,300,-49.174,0,B,17,17,0.0,,78,512.0,26502
160,1,-0.165,0,B,17,18,0.0,stuck,79,512.0,26503
161,300,-46.272,0,B,18,18,0.0,,79,517.9,26803
162,1,-0.156,0,B,18,16,0.0,stuck,80,517.9,26804
163,300,-55.659,0,B,16,16,0.0,,80,523.5,27104
164,1,-0.207,0,B,16,9,0.0,stuck,81,523.6,27105
165,300,-45.406,0,B,9,9,0.0,,81,529.5,27405
166,1,-0.162,0,B,9,25,0.0,stuck,82,529.5,27406
167,300,-54.751,0,B,25,25,0.0,,82,534.8,27706
168,1,-0.201,0,B,25,9,0.0,stuck,83,534.8,27707
169,300,-52.202,0,B,9,9,0.0,,83,540.0,28007
170,1,-0.175,0,B,9,8,0.0,stuck,84,540.0,28008
171,300,-62.81,0,B,8,8,0.0,,84,545.3,28308
172,1,-0.22,0,B,8,9,0.0,stuck,85,545.3,28309
173,300,-49.209,0,B,9,9,0.0,,85,550.6,28609
174,1,-0.166,0,B,9,17,0.0,stuck,86,550.6,28610
175,300,-60.707,0,B,17,17,0.0,,86,556.6,28910
176,1,-0.18,0,B,17,1,0.0,stuck,87,556.7,28911
177,110,-18.638,0,B,1,10,0.0,escape,88,558.6,29021
178,300,-57.464,0,B,10,10,0.0,,88,565.3,29321
179,1,-0.158,0,B,10,1,0.0,stuck,89,565.3,29322
180,300,-69.3,0,B,1,1,0.0,,89,571.7,29622
181,1,-0.191,0,B,1,25,0.0,stuck,90,571.7,29623
182,300,-67.305,0,B,25,25,0.0,,90,578.3,29923
183,1,-0.189,0,B,25,9,0.0,stuck,91,578.3,29924
184,300,-62.375,0,B,9,9,0.0,,91,585.4,30224
185,1,-0.194,0,B,9,17,0.0,stuck,92,585.4,30225
186,300,-49.73,0,B,17,17,0.0,,92,591.5,30525
187,1,-0.174,0,B,17,9,0.0,stuck,93,591.6,30526
188,300,-51.961,0,B,9,9,0.0,,93,597.9,30826
189,1,-0.168,0,B,9,8,0.0,stuck,94,597.9,30827
190,300,-65.634,0,B,8,8,0.0,,94,604.2,31127
191,1,-0.211,0,B,8,8,0.0,stuck,95,604.2,31128
192,300,-57.608,0,B,8,8,0.0,,95,610.8,31428
193,1,-0.202,0,B,8,17,0.0,stuck,96,610.8,31429
194,300,-48.358,0,B,17,17,0.0,,96,617.7,31729
195,1,-0.165,0,B,17,8,0.0,stuck,97,617.7,31730
196,300,-57.375,0,B,8,8,0.0,,97,624.3,32030
197,1,-0.219,0,B,8,9,0.0,stuck,98,624.3,32031
198,300,-50.275,0,B,9,9,0.0,,98,631.1,32331
199,1,-0.186,0,B,9,8,0.0,stuck,99,631.1,32332
200,300,-57.04,0,B,8,8,0.0,,99,636.8,32632
201,1,-0.218,0,B,8,17,0.0,stuck,100,636.8,32633
202,300,-49.889,0,B,17,17,0.0,,100,642.2,32933
203,1,-0.18,0,B,17,17,0.0,stuck,101,642.2,32934
204,300,-52.536,0,B,17,17,0.0,,101,647.8,33234
205,1,-0.179,0,B,17,8,0.0,stuck,102,647.8,33235
206,300,-53.495,0,B,8,8,0.0,,102,653.6,33535
207,1,-0.209,0,B,8,18,0.0,stuck,103,653.6,33536
208,300,-47.078,0,B,18,18,0.0,,103,659.6,33836
209,1,-0.156,0,B,18,9,0.0,stuck,104,659.6,33837
210,300,-49.806,0,B,9,9,0.0,,104,665.5,34137
211,1,-0.189,0,B,9,17,0.0,stuck,105,665.6,34138
212,300,-55.964,0,B,17,17,0.0,,105,671.8,34438
213,1,-0.201,0,B,17,9,0.0,stuck,106,671.8,34439
214,300,-51.712,0,B,9,9,0.0,,106,678.9,34739
215,1,-0.188,0,B,9,17,0.0,stuck,107,678.9,34740
216,300,-54.075,0,B,17,17,0.0,,107,685.2,35040
217,1,-0.205,0,B,17,16,0.0,stuck,108,685.2,35041
218,300,-58.548,0,B,16,16,0.0,,108,691.7,35341
219,1,-0.22,0,B,16,1,0.0,stuck,109,691.7,35342
220,300,-62.427,0,B,1,1,0.0,,109,697.9,35642
221,1,-0.187,0,B,1,17,0.0,stuck,110,697.9,35643
222,300,-55.518,0,B,17,17,0.0,,110,703.8,35943
223,1,-0.165,0,B,17,17,0.0,stuck,111,703.8,35944
224,300,-46.7,0,B,17,3,0.0,,111,709.2,36244
225,4,-0.498,0,B,3,8,0.0,escape,112,709.3,36248
226,300,-55.846,0,B,8,8,0.0,,112,715.2,36548
227,1,-0.211,0,B,8,17,0.0,stuck,113,715.2,36549
228,300,-48.529,0,B,17,17,0.0,,113,722.5,36849
229,1,-0.175,0,B,17,17,0.0,stuck,114,722.5,36850
230,300,-50.219,0,B,17,25,0.0,,114,728.9,37150
231,117,-18.383,0,B,25,16,0.0,escape,115,731.2,37267
232,300,-58.269,0,B,16,16,0.0,,115,740.5,37567
233,98,-19.768,0,B,16,9,0.0,stuck,116,742.8,37665
234,220,-34.887,0,B,9,9,0.0,escape,117,748.0,37885
